Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors
Q4 2020,Abia,30.0,146.0,31.0,37.0,19.0,0.0,0.0,0.0,18.0
Q4 2020,Adamawa,77.0,234.0,36.0,94.0,57.0,0.0,0.0,0.0,37.0
Q4 2020,Akwa Ibom,,28.0,7.0,24.0,15.0,0.0,,1.0,8.0
Q4 2020,Anambra,72.0,152.0,20.0,83.0,43.0,1.0,0.0,0.0,39.0
Q4 2020,Bauchi,154.0,685.0,90.0,140.0,74.0,0.0,0.0,0.0,66.0
Q4 2020,Bayelsa,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Q4 2020,Benue,77.0,177.0,25.0,81.0,81.0,0.0,0.0,0.0,0.0
Q4 2020,Borno,25.0,67.0,16.0,18.0,11.0,0.0,0.0,0.0,7.0
Q4 2020,Cross River,33.0,65.0,11.0,39.0,23.0,0.0,0.0,0.0,16.0
Q4 2020,Delta,67.0,182.0,36.0,111.0,70.0,0.0,0.0,0.0,41.0
Q4 2020,Ebonyi,27.0,82.0,11.0,29.0,9.0,0.0,0.0,0.0,20.0
Q4 2020,Edo,55.0,118.0,32.0,102.0,77.0,0.0,0.0,0.0,25.0
Q4 2020,Ekiti,30.0,71.0,9.0,46.0,23.0,1.0,0.0,0.0,22.0
Q4 2020,Enugu,44.0,116.0,30.0,48.0,10.0,0.0,0.0,0.0,38.0
Q4 2020,,312.0,572.0,90.0,480.0,284.0,1.0,0.0,2.0,193.0
Q4 2020,Gombe,70.0,231.0,26.0,84.0,59.0,0.0,0.0,0.0,25.0
Q4 2020,Imo,31.0,91.0,15.0,24.0,11.0,0.0,0.0,0.0,13.0
,Jigawa,92.0,318.0,64.0,177.0,118.0,0.0,0.0,0.0,59.0
,Kaduna,281.0,1010.0,224.0,363.0,194.0,0.0,0.0,0.0,169.0
Q4 2020,Kano,102.0,499.0,194.0,,90.0,0.0,0.0,2.0,38.0
Q4 2020,Katsina,77.0,277.0,39.0,107.0,80.0,0.0,0.0,0.0,27.0
Q4 2020,Kebbi,58.0,222.0,56.0,64.0,45.0,0.0,0.0,0.0,19.0
Q4 2020,Kogi,122.0,335.0,55.0,178.0,91.0,1.0,0.0,1.0,85.0
Q4 2020,Kwara,102.0,313.0,60.0,163.0,105.0,0.0,0.0,0.0,58.0
Q4 2020,Lagos,113.0,181.0,21.0,114.0,46.0,1.0,,3.0,64.0
Q4 2020,Nasarawa,200.0,513.0,65.0,271.0,114.0,0.0,0.0,0.0,157.0
Q4 2020,Niger,110.0,347.0,91.0,126.0,102.0,0.0,0.0,0.0,24.0
Q4 2020,Ogun,279.0,548.0,83.0,377.0,254.0,0.0,0.0,0.0,123.0
Q4 2020,Ondo,114.0,,84.0,155.0,107.0,0.0,0.0,1.0,47.0
Q4 2020,Osun,109.0,292.0,52.0,143.0,93.0,0.0,0.0,0.0,50.0
Q4 2020,Oyo,155.0,385.0,68.0,209.0,128.0,0.0,0.0,4.0,77.0
Q4 2020,Plateau,45.0,123.0,17.0,48.0,18.0,2.0,0.0,0.0,28.0
Q4 2020,Rivers,25.0,77.0,6.0,29.0,19.0,0.0,,0.0,10.0
Q4 2020,Sokoto,32.0,138.0,47.0,60.0,49.0,0.0,0.0,0.0,11.0
,Taraba,59.0,149.0,7.0,92.0,57.0,,0.0,0.0,35.0
Q4 2020,Yobe,56.0,383.0,60.0,53.0,28.0,0.0,0.0,0.0,25.0
Q4 2020,Zamfara,55.0,252.0,40.0,72.0,40.0,0.0,0.0,0.0,32.0
Q1 2021,Abia,44.0,119.0,35.0,36.0,7.0,0.0,0.0,0.0,29.0
Q1 2021,Adamawa,84.0,251.0,21.0,110.0,60.0,,0.0,0.0,50.0
Q1 2021,Akwa Ibom,22.0,35.0,12.0,24.0,15.0,0.0,0.0,0.0,9.0
Q1 2021,Anambra,80.0,147.0,9.0,,59.0,0.0,0.0,0.0,50.0
Q1 2021,Bauchi,131.0,634.0,115.0,153.0,77.0,0.0,0.0,0.0,76.0
Q1 2021,Bayelsa,7.0,15.0,0.0,9.0,7.0,0.0,1.0,0.0,1.0
Q1 2021,Benue,52.0,123.0,15.0,54.0,46.0,0.0,0.0,0.0,8.0
Q1 2021,Borno,31.0,78.0,24.0,46.0,31.0,0.0,0.0,0.0,15.0
Q1 2021,Cross River,25.0,50.0,30.0,31.0,17.0,0.0,0.0,0.0,14.0
Q1 2021,Delta,71.0,196.0,51.0,108.0,68.0,0.0,0.0,0.0,40.0
Q1 2021,Ebonyi,31.0,,27.0,32.0,13.0,0.0,0.0,0.0,19.0
Q1 2021,Edo,56.0,140.0,51.0,89.0,68.0,0.0,0.0,0.0,21.0
Q1 2021,Ekiti,31.0,101.0,13.0,41.0,29.0,1.0,,0.0,11.0
Q1 2021,Enugu,66.0,222.0,37.0,75.0,3.0,0.0,0.0,,72.0
Q1 2021,FCT,278.0,518.0,56.0,400.0,158.0,1.0,0.0,0.0,241.0
Q1 2021,Gombe,72.0,232.0,31.0,82.0,33.0,0.0,0.0,0.0,49.0
Q1 2021,Imo,16.0,71.0,17.0,16.0,5.0,0.0,0.0,0.0,11.0
Q1 2021,Jigawa,67.0,264.0,35.0,132.0,82.0,0.0,0.0,1.0,49.0
Q1 2021,Kaduna,256.0,1149.0,196.0,368.0,211.0,0.0,0.0,7.0,150.0
Q1 2021,Kano,137.0,604.0,100.0,184.0,110.0,0.0,0.0,3.0,71.0
Q1 2021,Katsina,71.0,287.0,29.0,93.0,74.0,0.0,0.0,0.0,19.0
Q1 2021,Kebbi,44.0,139.0,21.0,47.0,38.0,0.0,0.0,0.0,9.0
Q1 2021,Kogi,143.0,425.0,94.0,216.0,105.0,1.0,0.0,0.0,110.0
Q1 2021,Kwara,100.0,369.0,69.0,163.0,,0.0,0.0,0.0,72.0
Q1 2021,Lagos,151.0,243.0,26.0,152.0,85.0,0.0,0.0,2.0,65.0
Q1 2021,Nasarawa,176.0,452.0,77.0,218.0,75.0,1.0,0.0,1.0,141.0
Q1 2021,Niger,108.0,492.0,93.0,171.0,128.0,0.0,0.0,2.0,invalid
Q1 2021,Ogun,299.0,670.0,82.0,407.0,270.0,0.0,0.0,0.0,137.0
Q1 2021,Ondo,115.0,290.0,43.0,152.0,96.0,0.0,0.0,2.0,54.0
Q1 2021,Osun,105.0,317.0,43.0,132.0,,0.0,0.0,3.0,51.0
Q1 2021,Oyo,176.0,399.0,103.0,222.0,129.0,0.0,2.0,1.0,90.0
Q1 2021,Plateau,48.0,130.0,15.0,51.0,15.0,0.0,0.0,0.0,36.0
Q1 2021,Rivers,21.0,54.0,4.0,22.0,12.0,0.0,0.0,0.0,10.0
Q1 2021,Sokoto,37.0,119.0,33.0,57.0,46.0,0.0,0.0,0.0,11.0
Q1 2021,Taraba,67.0,213.0,12.0,104.0,31.0,0.0,0.0,0.0,73.0
Q1 2021,Yobe,42.0,235.0,35.0,51.0,28.0,0.0,0.0,0.0,23.0
Q1 2021,Zamfara,41.0,153.0,14.0,47.0,29.0,,0.0,0.0,18.0
Q2 2021,Abia,21.0,69.0,19.0,32.0,20.0,0.0,0.0,0.0,12.0
Q2 2021,Adamawa,90.0,280.0,21.0,107.0,70.0,0.0,0.0,0.0,37.0
Q2 2021,Akwa Ibom,16.0,32.0,,17.0,10.0,0.0,0.0,0.0,7.0
Q2 2021,Anambra,66.0,138.0,18.0,100.0,37.0,0.0,0.0,0.0,63.0
Q2 2021,Bauchi,105.0,418.0,46.0,112.0,55.0,0.0,0.0,0.0,57.0
Q2 2021,Bayelsa,10.0,19.0,3.0,10.0,5.0,0.0,0.0,0.0,5.0
Q2 2021,Benue,69.0,,19.0,69.0,63.0,0.0,0.0,0.0,6.0
Q2 2021,Borno,17.0,65.0,4.0,24.0,7.0,0.0,0.0,0.0,17.0
Q2 2021,,29.0,74.0,5.0,34.0,17.0,0.0,0.0,0.0,17.0
Q2 2021,Delta,41.0,136.0,16.0,,46.0,0.0,0.0,0.0,26.0
Q2 2021,Ebonyi,29.0,82.0,15.0,35.0,20.0,0.0,0.0,0.0,15.0
Q2 2021,Edo,58.0,154.0,34.0,81.0,61.0,0.0,,0.0,20.0
Q2 2021,Ekiti,41.0,98.0,20.0,60.0,,0.0,0.0,0.0,21.0
Q2 2021,Enugu,66.0,157.0,22.0,78.0,8.0,0.0,0.0,0.0,70.0
Q2 2021,FCT,252.0,483.0,37.0,356.0,135.0,2.0,0.0,0.0,219.0
Q2 2021,Gombe,93.0,239.0,28.0,107.0,40.0,0.0,0.0,0.0,67.0
Q2 2021,Imo,23.0,64.0,14.0,24.0,6.0,0.0,0.0,0.0,18.0
Q2 2021,Jigawa,63.0,370.0,46.0,120.0,,0.0,0.0,1.0,45.0
Q2 2021,Kaduna,222.0,837.0,217.0,299.0,179.0,0.0,0.0,5.0,115.0
Q2 2021,Kano,,286.0,57.0,87.0,56.0,0.0,0.0,0.0,31.0
Q2 2021,Katsina,39.0,148.0,40.0,58.0,40.0,0.0,0.0,0.0,18.0
Q2 2021,Kebbi,53.0,130.0,4.0,55.0,41.0,1.0,0.0,,13.0
Q2 2021,Kogi,97.0,246.0,25.0,139.0,56.0,0.0,0.0,0.0,83.0
Q2 2021,Kwara,108.0,368.0,80.0,144.0,64.0,2.0,0.0,0.0,78.0
Q2 2021,Lagos,145.0,266.0,47.0,146.0,75.0,,0.0,3.0,68.0
Q2 2021,Nasarawa,242.0,600.0,53.0,286.0,107.0,2.0,0.0,0.0,177.0
Q2 2021,Niger,148.0,516.0,103.0,194.0,114.0,0.0,0.0,18.0,62.0
Q2 2021,Ogun,337.0,637.0,121.0,343.0,293.0,1.0,0.0,0.0,49.0
Q2 2021,Ondo,114.0,,47.0,148.0,90.0,2.0,0.0,1.0,55.0
Q2 2021,Osun,87.0,250.0,52.0,112.0,61.0,0.0,,3.0,48.0
Q2 2021,Oyo,152.0,400.0,85.0,181.0,107.0,0.0,0.0,5.0,69.0
Q2 2021,Plateau,99.0,283.0,23.0,104.0,31.0,0.0,0.0,0.0,73.0
Q2 2021,Rivers,26.0,65.0,6.0,29.0,13.0,,0.0,0.0,16.0
Q2 2021,Sokoto,23.0,87.0,37.0,,35.0,0.0,0.0,0.0,4.0
Q2 2021,Taraba,56.0,171.0,12.0,77.0,28.0,0.0,,0.0,49.0
Q2 2021,Yobe,32.0,168.0,17.0,47.0,24.0,0.0,0.0,0.0,23.0
Q2 2021,Zamfara,46.0,213.0,50.0,57.0,35.0,0.0,0.0,0.0,22.0
Q3 2021,Abia,20.0,62.0,,24.0,1.0,0.0,0.0,4.0,19.0
Q3 2021,Adamawa,80.0,208.0,26.0,,0.0,0.0,0.0,66.0,29.0
Q3 2021,Akwa Ibom,13.0,18.0,1.0,15.0,0.0,0.0,,11.0,4.0
,Anambra,62.0,142.0,17.0,146.0,3.0,0.0,0.0,,123.0
Q3 2021,Bauchi,130.0,627.0,79.0,127.0,0.0,1.0,0.0,69.0,57.0
Q3 2021,Bayelsa,19.0,23.0,8.0,22.0,0.0,0.0,1.0,16.0,5.0
Q3 2021,Benue,53.0,159.0,18.0,53.0,1.0,0.0,0.0,37.0,15.0
Q3 2021,Borno,17.0,110.0,3.0,16.0,0.0,0.0,0.0,9.0,7.0
,Cross River,37.0,144.0,15.0,40.0,0.0,0.0,1.0,24.0,15.0
Q3 2021,Delta,45.0,122.0,23.0,66.0,0.0,0.0,0.0,30.0,36.0
Q3 2021,Ebonyi,34.0,100.0,18.0,35.0,0.0,0.0,0.0,19.0,16.0
Q3 2021,Edo,,158.0,33.0,98.0,0.0,0.0,0.0,68.0,30.0
Q3 2021,Ekiti,44.0,127.0,10.0,60.0,1.0,0.0,0.0,30.0,29.0
Q3 2021,Enugu,97.0,270.0,28.0,100.0,0.0,0.0,0.0,45.0,55.0
Q3 2021,FCT,307.0,562.0,57.0,436.0,0.0,0.0,2.0,260.0,174.0
Q3 2021,Gombe,73.0,218.0,13.0,83.0,1.0,0.0,0.0,38.0,44.0
Q3 2021,Imo,27.0,85.0,16.0,27.0,1.0,0.0,0.0,10.0,16.0
Q3 2021,Jigawa,94.0,312.0,65.0,137.0,0.0,2.0,0.0,89.0,
Q3 2021,Kaduna,174.0,684.0,144.0,201.0,0.0,0.0,1.0,118.0,82.0
Q3 2021,Kano,32.0,131.0,53.0,33.0,0.0,0.0,0.0,16.0,17.0
Q3 2021,Katsina,18.0,98.0,33.0,27.0,0.0,0.0,0.0,21.0,6.0
Q3 2021,Kebbi,54.0,159.0,59.0,58.0,0.0,0.0,1.0,41.0,16.0
Q3 2021,Kogi,,280.0,42.0,137.0,0.0,0.0,1.0,72.0,64.0
Q3 2021,Kwara,78.0,255.0,21.0,108.0,0.0,0.0,0.0,65.0,43.0
Q3 2021,Lagos,141.0,233.0,41.0,144.0,0.0,1.0,2.0,71.0,70.0
Q3 2021,Nasarawa,212.0,535.0,33.0,265.0,0.0,0.0,0.0,126.0,139.0
Q3 2021,Niger,219.0,577.0,150.0,273.0,0.0,0.0,25.0,162.0,86.0
,,299.0,618.0,98.0,312.0,2.0,0.0,0.0,253.0,57.0
Q3 2021,Ondo,96.0,,51.0,113.0,0.0,0.0,0.0,72.0,41.0
Q3 2021,Osun,105.0,324.0,82.0,134.0,0.0,0.0,0.0,78.0,56.0
,Oyo,137.0,344.0,58.0,159.0,0.0,0.0,4.0,88.0,67.0
,Plateau,77.0,249.0,25.0,77.0,0.0,0.0,0.0,23.0,54.0
Q3 2021,,31.0,88.0,23.0,36.0,0.0,0.0,0.0,16.0,20.0
Q3 2021,Sokoto,27.0,78.0,15.0,34.0,0.0,0.0,0.0,26.0,8.0
Q3 2021,Taraba,45.0,128.0,3.0,66.0,0.0,0.0,0.0,18.0,48.0
Q3 2021,Yobe,,292.0,41.0,66.0,0.0,0.0,0.0,33.0,33.0
,Zamfara,21.0,56.0,19.0,21.0,0.0,0.0,0.0,9.0,12.0
,Abia,21.0,57.0,3.0,27.0,0.0,0.0,2.0,8.0,17.0
Q4 2021,Adamawa,76.0,,25.0,92.0,0.0,0.0,0.0,62.0,
Q4 2021,Akwa Ibom,22.0,39.0,10.0,23.0,0.0,0.0,0.0,12.0,11.0
Q4 2021,Anambra,59.0,156.0,45.0,64.0,1.0,0.0,1.0,24.0,38.0
Q4 2021,Bauchi,217.0,882.0,156.0,247.0,0.0,0.0,1.0,124.0,122.0
Q4 2021,Bayelsa,12.0,37.0,24.0,19.0,0.0,0.0,0.0,16.0,3.0
Q4 2021,Benue,53.0,123.0,9.0,51.0,1.0,0.0,0.0,34.0,16.0
Q4 2021,Borno,21.0,70.0,5.0,21.0,0.0,0.0,0.0,13.0,8.0
Q4 2021,Cross River,54.0,133.0,20.0,70.0,0.0,0.0,0.0,48.0,22.0
Q4 2021,Delta,58.0,172.0,30.0,71.0,0.0,0.0,0.0,29.0,42.0
Q4 2021,Ebonyi,30.0,87.0,29.0,33.0,0.0,0.0,0.0,,17.0
Q4 2021,Edo,63.0,125.0,40.0,87.0,0.0,0.0,0.0,61.0,26.0
Q4 2021,Ekiti,27.0,62.0,5.0,38.0,0.0,,0.0,18.0,20.0
Q4 2021,Enugu,56.0,134.0,21.0,63.0,0.0,0.0,0.0,24.0,39.0
,,280.0,621.0,66.0,328.0,0.0,0.0,0.0,172.0,156.0
Q4 2021,Gombe,90.0,256.0,30.0,112.0,0.0,0.0,0.0,44.0,
Q4 2021,Imo,37.0,130.0,22.0,38.0,0.0,,0.0,20.0,18.0
Q4 2021,Jigawa,129.0,510.0,62.0,221.0,0.0,0.0,0.0,142.0,79.0
Q4 2021,Kaduna,177.0,691.0,120.0,188.0,0.0,0.0,5.0,121.0,62.0
Q4 2021,Kano,40.0,190.0,40.0,51.0,0.0,0.0,0.0,30.0,21.0
Q4 2021,Katsina,10.0,38.0,13.0,17.0,0.0,0.0,0.0,,6.0
Q4 2021,Kebbi,62.0,248.0,28.0,64.0,0.0,0.0,0.0,47.0,17.0
Q4 2021,Kogi,,428.0,68.0,232.0,1.0,0.0,0.0,105.0,126.0
Q4 2021,,108.0,365.0,76.0,136.0,0.0,0.0,0.0,64.0,72.0
Q4 2021,Lagos,159.0,262.0,43.0,156.0,2.0,0.0,3.0,84.0,67.0
Q4 2021,Nasarawa,263.0,686.0,59.0,301.0,3.0,0.0,0.0,92.0,206.0
Q4 2021,Niger,,759.0,108.0,225.0,0.0,0.0,3.0,154.0,68.0
Q4 2021,Ogun,286.0,633.0,129.0,299.0,0.0,0.0,0.0,239.0,60.0
Q4 2021,Ondo,134.0,247.0,62.0,162.0,0.0,0.0,2.0,95.0,65.0
Q4 2021,Osun,107.0,302.0,63.0,134.0,0.0,0.0,0.0,73.0,61.0
Q4 2021,Oyo,163.0,494.0,93.0,185.0,1.0,,5.0,101.0,78.0
Q4 2021,Plateau,74.0,261.0,34.0,80.0,2.0,0.0,0.0,31.0,47.0
Q4 2021,Rivers,27.0,135.0,23.0,37.0,0.0,0.0,0.0,14.0,23.0
Q4 2021,Sokoto,35.0,invalid,25.0,65.0,0.0,0.0,0.0,61.0,4.0
Q4 2021,Taraba,70.0,178.0,9.0,78.0,0.0,0.0,0.0,25.0,53.0
Q4 2021,Yobe,45.0,188.0,25.0,59.0,0.0,0.0,0.0,29.0,30.0
Q4 2021,Zamfara,25.0,135.0,32.0,32.0,0.0,0.0,0.0,22.0,10.0
Q1 2022,Abia,33.0,144.0,13.0,,1.0,0.0,0.0,20.0,20.0
Q1 2022,Adamawa,79.0,245.0,61.0,101.0,0.0,0.0,0.0,75.0,26.0
Q1 2022,Akwa Ibom,16.0,35.0,7.0,16.0,0.0,0.0,0.0,12.0,4.0
Q1 2022,,38.0,103.0,22.0,46.0,0.0,0.0,1.0,24.0,21.0
Q1 2022,Bauchi,140.0,499.0,73.0,165.0,0.0,0.0,0.0,90.0,75.0
Q1 2022,Bayelsa,23.0,61.0,,35.0,0.0,0.0,0.0,29.0,6.0
Q1 2022,Benue,74.0,221.0,27.0,80.0,0.0,0.0,0.0,55.0,
Q1 2022,Borno,25.0,114.0,25.0,26.0,0.0,0.0,0.0,15.0,11.0
Q1 2022,Cross River,21.0,71.0,8.0,23.0,0.0,0.0,0.0,13.0,10.0
Q1 2022,Delta,81.0,227.0,62.0,106.0,0.0,0.0,0.0,51.0,
Q1 2022,Ebonyi,33.0,87.0,22.0,40.0,0.0,0.0,0.0,20.0,20.0
Q1 2022,Edo,77.0,176.0,54.0,121.0,0.0,0.0,0.0,80.0,41.0
Q1 2022,Ekiti,19.0,35.0,3.0,27.0,0.0,0.0,0.0,19.0,8.0
Q1 2022,Enugu,57.0,211.0,38.0,63.0,0.0,0.0,0.0,18.0,45.0
Q1 2022,FCT,319.0,467.0,56.0,438.0,2.0,0.0,1.0,240.0,195.0
Q1 2022,Gombe,73.0,274.0,16.0,97.0,0.0,0.0,0.0,53.0,44.0
Q1 2022,Imo,26.0,54.0,17.0,27.0,0.0,0.0,0.0,5.0,22.0
Q1 2022,Jigawa,102.0,417.0,37.0,204.0,0.0,0.0,0.0,168.0,36.0
Q1 2022,Kaduna,,887.0,197.0,196.0,0.0,0.0,4.0,110.0,82.0
Q1 2022,Kano,92.0,417.0,138.0,124.0,0.0,0.0,1.0,80.0,43.0
Q1 2022,Katsina,13.0,76.0,37.0,18.0,0.0,0.0,0.0,10.0,8.0
Q1 2022,Kebbi,57.0,229.0,22.0,59.0,0.0,0.0,0.0,57.0,2.0
Q1 2022,Kogi,142.0,474.0,95.0,222.0,0.0,0.0,1.0,132.0,89.0
Q1 2022,Kwara,94.0,315.0,86.0,146.0,0.0,,0.0,109.0,37.0
Q1 2022,Lagos,198.0,276.0,48.0,198.0,3.0,0.0,6.0,88.0,101.0
,Nasarawa,247.0,556.0,70.0,332.0,0.0,0.0,0.0,183.0,149.0
Q1 2022,Niger,146.0,754.0,155.0,197.0,0.0,0.0,21.0,124.0,52.0
Q1 2022,Ogun,268.0,656.0,126.0,344.0,2.0,0.0,0.0,260.0,82.0
Q1 2022,Ondo,127.0,355.0,54.0,157.0,0.0,0.0,0.0,95.0,62.0
Q1 2022,,102.0,376.0,29.0,139.0,0.0,,0.0,75.0,
Q1 2022,Oyo,173.0,540.0,73.0,205.0,0.0,0.0,4.0,124.0,77.0
Q1 2022,Plateau,73.0,270.0,36.0,76.0,,0.0,0.0,26.0,49.0
Q1 2022,Rivers,29.0,58.0,7.0,38.0,0.0,0.0,0.0,20.0,18.0
Q1 2022,Sokoto,27.0,103.0,13.0,33.0,0.0,,0.0,19.0,14.0
Q1 2022,Taraba,71.0,248.0,32.0,74.0,0.0,0.0,3.0,21.0,50.0
Q1 2022,Yobe,26.0,133.0,63.0,38.0,0.0,0.0,0.0,21.0,17.0
Q1 2022,Zamfara,27.0,130.0,10.0,31.0,0.0,0.0,0.0,20.0,11.0
Q2 2022,,29.0,107.0,23.0,42.0,0.0,0.0,0.0,21.0,21.0
,Adamawa,64.0,176.0,25.0,85.0,0.0,0.0,0.0,50.0,35.0
Q2 2022,Akwa Ibom,28.0,63.0,12.0,31.0,0.0,0.0,0.0,17.0,14.0
Q2 2022,Anambra,29.0,45.0,18.0,30.0,0.0,0.0,0.0,7.0,23.0
Q2 2022,Bauchi,90.0,,79.0,107.0,0.0,0.0,0.0,62.0,45.0
Q2 2022,Bayelsa,15.0,25.0,4.0,23.0,0.0,0.0,0.0,21.0,2.0
Q2 2022,Benue,84.0,273.0,51.0,90.0,1.0,0.0,,51.0,38.0
Q2 2022,Borno,13.0,57.0,7.0,12.0,0.0,0.0,0.0,6.0,6.0
Q2 2022,Cross River,29.0,60.0,18.0,36.0,0.0,0.0,0.0,20.0,16.0
Q2 2022,Delta,66.0,173.0,32.0,96.0,1.0,0.0,2.0,35.0,58.0
Q2 2022,Ebonyi,25.0,76.0,10.0,26.0,0.0,0.0,0.0,11.0,15.0
Q2 2022,Edo,58.0,207.0,36.0,90.0,0.0,0.0,0.0,55.0,35.0
Q2 2022,Ekiti,31.0,,13.0,61.0,1.0,0.0,0.0,54.0,6.0
Q2 2022,,70.0,215.0,24.0,75.0,0.0,0.0,0.0,28.0,47.0
Q2 2022,FCT,538.0,1028.0,111.0,842.0,1.0,0.0,2.0,425.0,414.0
Q2 2022,Gombe,81.0,199.0,35.0,94.0,0.0,0.0,0.0,43.0,51.0
Q2 2022,Imo,20.0,46.0,9.0,26.0,0.0,0.0,0.0,6.0,20.0
Q2 2022,Jigawa,88.0,333.0,46.0,147.0,0.0,1.0,1.0,99.0,46.0
Q2 2022,Kaduna,181.0,717.0,177.0,181.0,0.0,0.0,6.0,99.0,76.0
Q2 2022,Kano,91.0,406.0,74.0,107.0,0.0,0.0,0.0,71.0,36.0
Q2 2022,Katsina,26.0,131.0,22.0,28.0,0.0,0.0,0.0,21.0,7.0
Q2 2022,Kebbi,39.0,138.0,13.0,,0.0,0.0,0.0,33.0,6.0
Q2 2022,Kogi,139.0,395.0,81.0,233.0,1.0,0.0,2.0,131.0,99.0
Q2 2022,Kwara,93.0,342.0,,127.0,1.0,0.0,0.0,67.0,59.0
Q2 2022,Lagos,148.0,209.0,32.0,149.0,4.0,1.0,0.0,87.0,57.0
Q2 2022,Nasarawa,237.0,602.0,65.0,306.0,1.0,1.0,0.0,133.0,171.0
Q2 2022,Niger,128.0,456.0,75.0,185.0,1.0,0.0,2.0,141.0,41.0
Q2 2022,Ogun,239.0,595.0,90.0,344.0,2.0,0.0,0.0,243.0,99.0
Q2 2022,Ondo,114.0,244.0,35.0,156.0,0.0,0.0,0.0,90.0,66.0
Q2 2022,Osun,78.0,245.0,20.0,116.0,0.0,0.0,0.0,61.0,55.0
Q2 2022,Oyo,171.0,378.0,64.0,195.0,0.0,0.0,4.0,106.0,85.0
Q2 2022,Plateau,62.0,184.0,39.0,75.0,0.0,0.0,1.0,26.0,48.0
Q2 2022,Rivers,22.0,54.0,6.0,23.0,,0.0,0.0,7.0,16.0
Q2 2022,Sokoto,31.0,126.0,68.0,40.0,0.0,0.0,0.0,,20.0
Q2 2022,Taraba,66.0,162.0,9.0,86.0,0.0,0.0,2.0,25.0,59.0
Q2 2022,Yobe,31.0,192.0,35.0,44.0,0.0,0.0,0.0,27.0,17.0
